name,nationality,first hired,1901 primary rank,1901 date promoted to primary,1901 secondary job,1901 date promoted to secondary,1901 other details,1901 location/last port,1901 on leave?,1906 primary rank,1906 date promoted to primary,1906 secondary job,1906 date promoted to secondary,1906 other details,1906 location/last port,1906 on leave?
C. K. Mackenzie,British,1899 March,Third Class Tidewaiter,1899 September,,,,Kowloon,,,,,,,,
C. Mandelkoff,Russian,1899 April,Third Class Tidewaiter,1899 September,,,,Hankow,,,,,,,,
A. W. Macphail,British,1899 September,Third Class Tidewaiter,1899 September,,,,Ichang,,,,,,,,
G. F. Aitken,British,1898 November,Third Class Tidewaiter,1899 October,,,,Canton,,,,,,,,
S. J. Taylor,British,1899 March,Third Class Tidewaiter,1899 October,,,,Wuhu,,,,,,,,
C. F. Wallis,British,1899 March,Third Class Tidewaiter,1899 October,,,,Kowloon,,,,,,,,
N. G. Olsson,Swedish,1899 March,Third Class Tidewaiter,1899 October,,,,Kowloon,,,,,,,,
J. Steinacher,American,1897 April,Third Class Tidewaiter,1899 October,,,,Shanghai,,,,,,,,
J. A. Hersted,Danish,1899 May,Third Class Tidewaiter,1899 October,,,,Ichang,,,,,,,,
H. F. H. Goetze,German,1899 April,Third Class Tidewaiter,1899 October,,,,Kiaochow,,Assistant Examiner,1903 October,,,,Kiaochow,
J. Clausen,German,1899 April,Third Class Tidewaiter,1899 October,,,,Kiaochow,,First Class Tidewaiter,1906 January,,,,Kiaochow,
R. Sterz,German,1899 April,Third Class Tidewaiter,1899 October,,,,Kiaochow,,,,,,,,
O. H. Schmitto,Danish,1897 October,Third Class Tidewaiter,1899 November,,,,Lappa,,,,,,,,
C. Lasson,Norwegian,1899 April,Third Class Tidewaiter,1899 November,,,,Swatow,,,,,,,,
J. L. Wilson,British,1899 June,Third Class Tidewaiter,1899 November,,,,Chefoo,,,,,,,,
M. Wassmannsdorff,German,1899 June,Third Class Tidewaiter,1899 November,,,,Hankow,,,,,,,,
R. C. MacDougall,British,1899 July,Third Class Tidewaiter,1899 December,,,,Nanking,,,,,,,,
E. W. Volckmann,German,1899 July,Third Class Tidewaiter,1899 December,,,,Chinkiang,,Assistant Examiner,1906 January,,,,Kiaochow,
H. F. Brackstone,British,1899 June,Third Class Tidewaiter,1900 January,,,,Swatow,,,,,,,,
W. Perry,British,1899 July,Third Class Tidewaiter,1900 January,,,,Swatow,,,,,,,,
E. H. Kretzschmar,German,1899 July,Third Class Tidewaiter,1900 January,,,,Kiaochow,,,,,,,,
H. R. Gerulat,German,1899 July,Third Class Tidewaiter,1900 January,,,,Kiaochow,,Assistant Examiner,1905 April,,,,Kiaochow,
E. Trusch,German,1898 June,Third Class Tidewaiter,1900 February,,,,Lappa,,,,,,,,
L. Smith,American,1899 August,Third Class Tidewaiter,1900 February,,,,Canton,,,,,,,,
C. S. F. Lloyd,British,1899 July,Third Class Tidewaiter,1900 February,,,,Shanghai,,,,,,,,
J. S. T. Brandão ,Portuguese,1895 January,Third Class Tidewaiter,1900 March,,,,Lappa,,,,,,,,
J. I. da Cunha,Portuguese,1896 January,Third Class Tidewaiter,1900 March,,,,Canton,,,,,,,,
W. Power,British,1899 August,Third Class Tidewaiter,1900 March,,,,Kowloon,,,,,,,,
H. E. McGowan,British,1899 September,Third Class Tidewaiter,1900 March,,,,Canton,,,,,,,,
E. W. E. Eickhoff,German,1899 September,Third Class Tidewaiter,1900 April,,,,Kiaochow,,,,,,,,
H. M. Sprague,American,1899 October,Third Class Tidewaiter,1900 April,,,,Shanghai,,,,,,,,
J. M. N. da Costa,Portuguese,1899 September,Third Class Tidewaiter,1900 April,,,,Hankow,,,,,,,,
H. A. Andersen,Norwegian,1900 March,Third Class Tidewaiter,1900 April,,,,Hankow,,,,,,,,
C. Diamond,American,1900 March,Third Class Tidewaiter,1900 April,,,,Hankow,,,,,,,,
K. F. Josefsen,Norwegian,1899 October,Third Class Tidewaiter,1900 May,,,,Shanghai,,,,,,,,
D. Campbell,British,1899 December,Third Class Tidewaiter,1900 May,,,,Chinkiang,,,,,,,,
F. P. Ruggeberg,German,1899 November,Third Class Tidewaiter,1900 May,,,,Kowloon,,,,,,,,
C. J. Gray,British,1899 November,Third Class Tidewaiter,1900 May,,,,Hankow,,,,,,,,
P. W. A. Scott,British,1899 November,Third Class Tidewaiter,1900 June,,,,Kowloon,,,,,,,,
